district,year,consec_drought,total_droughts,share,avg_spei3
Armavir,2020,0,0,0.3055555555555556,-0.4455744577657983
Armavir,2021,1,0,0.3888888888888889,-0.895045328040228
Armavir,2022,1,1,0.4722222222222222,-0.8087154103667233
Armavir,2023,0,0,0.25,-0.5334242121920127
Armavir,2024,0,0,0.027777777777777776,0.14531463427529495
Armavir,2025,1,1,0.6333333333333333,-1.1093482106814108
Yerevan,2000,1,1,0.6111111111111112,-1.300542603350348
Yerevan,2001,0,0,0.19444444444444445,-0.6997111481097009
Yerevan,2002,0,0,0.027777777777777776,0.8134540292020473
Yerevan,2003,0,0,0.0,0.6440386070559422
Yerevan,2004,0,0,0.027777777777777776,0.2676109022383268
Yerevan,2005,0,0,0.0,0.6211884321370841
Yerevan,2006,0,0,0.19444444444444445,-0.05111539886436529
Yerevan,2007,0,0,0.08333333333333333,0.4682439592304743
Yerevan,2008,1,0,0.3611111111111111,-0.5938242906195228
Yerevan,2009,0,0,0.05555555555555555,1.0259853899478912
Yerevan,2010,0,0,0.25,0.39702354226675296
Yerevan,2011,0,0,0.1388888888888889,0.23847311353569645
Yerevan,2012,0,0,0.2777777777777778,-0.391532671398535
Yerevan,2013,0,0,0.08333333333333333,-0.031957320928793505
Yerevan,2014,0,0,0.3611111111111111,-0.6228670610774619
Yerevan,2015,0,0,0.05555555555555555,0.21525173959768532
Yerevan,2016,0,0,0.1111111111111111,0.27543876261754324
Yerevan,2017,1,1,0.5277777777777778,-0.9473352493692396
Yerevan,2018,0,0,0.05555555555555555,-0.2466637258702475
Yerevan,2019,0,1,0.4166666666666667,-0.37120688546241987
Yerevan,2020,0,0,0.25,-0.19912196041291785
Yerevan,2021,1,0,0.3611111111111111,-0.8434006776143279
Yerevan,2022,1,1,0.5555555555555556,-1.1365663146651868
Yerevan,2023,0,0,0.25,-0.44863739927920204
Yerevan,2024,0,0,0.05555555555555555,0.17790404927735734
Yerevan,2025,1,1,0.6333333333333333,-1.1476719246556362
Gegharkunik,2000,1,0,0.3888888888888889,-0.7379833165889746
Gegharkunik,2001,0,0,0.19444444444444445,-0.5628361773976581
Gegharkunik,2002,0,0,0.05555555555555555,0.7135024974792221
Gegharkunik,2003,0,0,0.0,0.6836384168007713
Gegharkunik,2004,0,0,0.0,0.10257559717485216
Gegharkunik,2005,0,0,0.0,0.37578447999079245
Gegharkunik,2006,0,0,0.2222222222222222,-0.07915116387748106
Gegharkunik,2007,0,0,0.027777777777777776,0.5406430323661101
Gegharkunik,2008,0,0,0.25,-0.20864100560244989
Gegharkunik,2009,0,0,0.027777777777777776,0.841233709889458
Gegharkunik,2010,0,0,0.16666666666666666,0.3861267391660364
Gegharkunik,2011,0,0,0.1111111111111111,0.3216375182727301
Gegharkunik,2012,0,0,0.2222222222222222,-0.14996831714509667
Gegharkunik,2013,0,0,0.0,0.27376887964459856
Gegharkunik,2014,0,0,0.1111111111111111,-0.4514386560050755
Gegharkunik,2015,0,0,0.2222222222222222,-0.04516811886847209
Gegharkunik,2016,0,0,0.0,0.7770837379278603
Gegharkunik,2017,1,1,0.5,-0.7686002695213187
Gegharkunik,2018,0,0,0.0,0.10583579581873064
Gegharkunik,2019,1,1,0.4722222222222222,-0.5033086798948181
Gegharkunik,2020,0,0,0.2222222222222222,-0.2621099565819581
Gegharkunik,2021,1,0,0.3055555555555556,-0.6112434568699279
Gegharkunik,2022,1,1,0.5277777777777778,-1.024416882679052
Gegharkunik,2023,0,0,0.19444444444444445,-0.19873752103897047
Gegharkunik,2024,0,0,0.0,0.5020635417724192
Gegharkunik,2025,0,1,0.6333333333333333,-1.0671493856181555
Kotayk,2000,1,1,0.5277777777777778,-1.0840590823648704
Kotayk,2001,0,0,0.2777777777777778,-0.6424233699113958
Kotayk,2002,0,0,0.027777777777777776,0.8307035644965556
Kotayk,2003,0,0,0.027777777777777776,0.5149389967011908
